keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
porn star,1530,1662,1576,1391,814,170.3000000000001
porn actress,1530,1662,1576,1391,814,170.3000000000001
recluse,1530,1662,1576,436,1293,170.0000000000002
brother sister relationship,1134,1167,478,716,511,169.70000000000007
excited,538,884,163,148,58,169.6000000000001
used generative a.i.,1530,1662,1576,1391,818,169.50000000000023
protest,1530,1662,1576,448,1293,168.80000000000032
confession,1530,849,641,1391,417,168.4000000000002
children in danger,1530,1662,1576,1391,827,167.70000000000022
former best friend,1530,1662,1576,1391,828,167.50000000000003
sexual violence,1530,1662,417,1391,829,167.3000000000001
struggle for survival,1530,1479,986,1035,916,167.20000000000007
nuclear weapons,1530,1662,906,1391,831,166.90000000000003
ritual murder,1530,1662,1576,468,1293,166.80000000000013
guilt,773,544,720,332,45,166.8
inter-korean relations,1530,1662,1576,641,1207,166.70000000000007
sacrifice,1136,1662,982,1234,517,166.6000000000001
stereoscopic film,1530,1662,1576,1391,833,166.50000000000003
comedian,1530,1660,1113,472,1293,166.20000000000005
death in family,1530,1662,1576,1391,835,166.10000000000025
hiking,1530,1662,1102,475,1293,166.1000000000001
arrested development,1530,1662,1576,1391,836,165.90000000000026
informant,1530,1662,1576,477,1293,165.90000000000015
starvation,1530,1662,1576,478,1293,165.80000000000015
dark fantasy,859,658,180,176,271,165.80000000000007
disrespectful,1530,1089,1243,1228,632,165.70000000000022
vexed,1530,1662,673,1391,839,165.30000000000024
heroism,1530,1662,649,483,1293,165.3000000000001
hunted,1530,1662,1576,1391,840,165.10000000000014
miracle,1506,1662,1576,438,1293,165.00000000000023
revisionist history,1530,1662,1576,492,1293,164.40000000000035
colonization,1530,1662,1576,1199,940,164.3000000000002
tokusatsu,1530,1662,1576,1391,844,164.30000000000015
dea agent,1530,1662,1433,494,1293,164.20000000000027
seaside town,1530,1662,1576,1391,845,164.10000000000025
terrorist bombing,1530,1662,1576,1329,876,164.1000000000001
ancient rome,1034,1662,1576,1391,350,163.90000000000015
blunt,1530,1525,613,360,1293,163.90000000000012
action,1530,1662,1304,956,1064,163.80000000000035
murderer,1530,1662,1488,498,1293,163.8
social commentary,1530,1662,1576,1391,847,163.70000000000024
memories,1530,1662,1136,1088,999,163.60000000000022
amazon rainforest,1530,1662,1576,502,1293,163.4000000000002
halloween night,1530,1662,1576,1391,850,163.10000000000036
scalping,1530,1662,1576,509,1293,162.70000000000007
wonder,1530,634,1576,319,875,162.50000000000023
christmas lights,1530,1662,1576,511,1293,162.50000000000017
native american reservation,1530,1662,1576,514,1293,162.20000000000005
father daughter estrangement,1530,1662,1576,1391,855,162.1000000000002
guilty conscience,1530,1662,1576,516,1293,162.00000000000006
grandfather grandson relationship,1530,1662,1576,1391,856,161.9000000000002
rifle,1530,1662,1062,517,1293,161.90000000000012
attic,1530,1662,1576,518,1293,161.80000000000004
crematorium,1530,1662,1576,520,1293,161.60000000000025
closeted homosexual,1530,1662,1576,1391,858,161.50000000000017
